"taxnum","arrest_count","arrest_type"
"952381","1","INFRACTION"
"952381","8","FELONY"
"952381","30","MISDEMEANOR"
"952381","2","VIOLATION"
"971779","3","FELONY"
"971779","12","MISDEMEANOR"
"937936","4","FELONY"
"937936","127","MISDEMEANOR"
"937936","57","VIOLATION"
"934975","4","FELONY"
"934975","40","MISDEMEANOR"
"934975","2","VIOLATION"
"949958","10","FELONY"
"949958","79","MISDEMEANOR"
"948586","36","FELONY"
"948586","100","MISDEMEANOR"
"948586","19","VIOLATION"
"945454","1","INFRACTION"
"945454","10","FELONY"
"945454","75","MISDEMEANOR"
"945454","12","VIOLATION"
"951477","12","FELONY"
"951477","210","MISDEMEANOR"
"951477","12","VIOLATION"
"964861","2","FELONY"
"964861","5","MISDEMEANOR"
"964861","1","VIOLATION"
"942926","19","FELONY"
"942926","25","MISDEMEANOR"
"942926","1","VIOLATION"
"964859","14","FELONY"
"964859","31","MISDEMEANOR"
"967739","4","MISDEMEANOR"
"969449","4","FELONY"
"969449","4","MISDEMEANOR"
"959780","13","FELONY"
"959780","22","MISDEMEANOR"
"959780","2","VIOLATION"
"937937","188","FELONY"
"937937","223","MISDEMEANOR"
"937937","2","VIOLATION"
"970964","3","MISDEMEANOR"
"954459","6","FELONY"
"954459","46","MISDEMEANOR"
"954459","10","VIOLATION"
"962197",NA,NA
"964860","1","INFRACTION"
"964860","28","FELONY"
"964860","31","MISDEMEANOR"
"964860","1","VIOLATION"
"960124","7","FELONY"
"960124","56","MISDEMEANOR"
"960124","1","VIOLATION"
"951479","1","INFRACTION"
"951479","1","FELONY"
"951479","30","MISDEMEANOR"
"951479","10","VIOLATION"
"971780","3","FELONY"
"971780","4","MISDEMEANOR"
"971781","3","FELONY"
"971781","7","MISDEMEANOR"
"956367","13","FELONY"
"956367","22","MISDEMEANOR"
"956367","2","VIOLATION"
"949959","2","INFRACTION"
"949959","188","FELONY"
"949959","205","MISDEMEANOR"
"949959","23","VIOLATION"
"968913","1","INFRACTION"
"968913","12","FELONY"
