"taxnum","date","charge_count","allegation_count"
"958224",NA,NA,NA
"965648",NA,NA,NA
"948457",NA,NA,NA
"939848",NA,NA,NA
"967408",NA,NA,NA
"964864",NA,NA,NA
"969462",NA,NA,NA
"971305",NA,NA,NA
"959446",NA,NA,NA
"969463",NA,NA,NA
"933596",NA,NA,NA
"947965",NA,NA,NA
"973203",NA,NA,NA
"971788",NA,NA,NA
"972500",NA,NA,NA
"953622",NA,NA,NA
"961600",NA,NA,NA
"964865",NA,NA,NA
"941323",NA,NA,NA
"940950",NA,NA,NA
"968214",NA,NA,NA
"949973","6/8/2015","1",NA
"949973","5/14/2022",NA,"1"
"957319",NA,NA,NA
"934311",NA,NA,NA
"973204",NA,NA,NA
"970968",NA,NA,NA
"954468","3/10/2017","2",NA
"970373",NA,NA,NA
"964866",NA,NA,NA
"934693",NA,NA,NA
"956372",NA,NA,NA
"967409",NA,NA,NA
"970374",NA,NA,NA
"948594",NA,NA,NA
"946722",NA,NA,NA
"961487",NA,NA,NA
"967410",NA,NA,NA
"959447","1/13/2022",NA,"3"
"954469",NA,NA,NA
"968921",NA,NA,NA
"949974",NA,NA,NA
"968922",NA,NA,NA
"960135",NA,NA,NA
"954470",NA,NA,NA
"966421",NA,NA,NA
"910594",NA,NA,NA
"970375",NA,NA,NA
"968215",NA,NA,NA
"941325",NA,NA,NA
"968923",NA,NA,NA
"946723","4/25/2019","6",NA
"962203",NA,NA,NA
"939850",NA,NA,NA
"941326",NA,NA,NA
"967411",NA,NA,NA
"934375",NA,NA,NA
"942931",NA,NA,NA
"949975",NA,NA,NA
"937952",NA,NA,NA
"962204",NA,NA,NA
"943809",NA,NA,NA
"946724",NA,NA,NA
"971789",NA,NA,NA
"963840",NA,NA,NA
"958210",NA,NA,NA
"951469",NA,NA,NA
"958226",NA,NA,NA
"973205",NA,NA,NA
"951483",NA,NA,NA
"936106",NA,NA,NA
"934376",NA,NA,NA
"929498","4/7/2011","3",NA
"960138",NA,NA,NA
"936107",NA,NA,NA
"971790",NA,NA,NA
"962915",NA,NA,NA
"944308",NA,NA,NA
"972433",NA,NA,NA
"962206",NA,NA,NA
"966929","6/8/2022",NA,"1"
"956373",NA,NA,NA
"962207","4/27/2022",NA,"1"
"964868",NA,NA,NA
"960140",NA,NA,NA
"963841",NA,NA,NA
"945462",NA,NA,NA
"948297",NA,NA,NA
"964364",NA,NA,NA
"971791",NA,NA,NA
"941329",NA,NA,NA
"961603",NA,NA,NA
"970376",NA,NA,NA
"967484",NA,NA,NA
"965649",NA,NA,NA
"967412",NA,NA,NA
"971792",NA,NA,NA
"962896",NA,NA,NA
"961604",NA,NA,NA
"970970",NA,NA,NA
"969467",NA,NA,NA
"961605",NA,NA,NA
"966422",NA,NA,NA
"964869",NA,NA,NA
"956374",NA,NA,NA
"969468",NA,NA,NA
"967743",NA,NA,NA
"967413",NA,NA,NA
"946725",NA,NA,NA
"935427",NA,NA,NA
"968216",NA,NA,NA
"953623",NA,NA,NA
"942793","4/17/2015","1",NA
"942793","8/7/2018","1",NA
"942793","5/23/2019","1",NA
"972501",NA,NA,NA
"937953",NA,NA,NA
"951484",NA,NA,NA
"963359",NA,NA,NA
"949977","5/13/2022",NA,"1"
"949977","6/28/2022",NA,"2"
"962916",NA,NA,NA
"970377","12/7/2021",NA,"5"
"949978",NA,NA,NA
"933598",NA,NA,NA
"963842",NA,NA,NA
"942932",NA,NA,NA
"969469",NA,NA,NA
"942933",NA,NA,NA
"964365",NA,NA,NA
