"taxnum","date","shield_num","title"
968916,"01/06/20",14038,"POLICE OFFICER"
961485,"04/06/16",1118,"POLICE OFFICER"
936668,"04/29/11",6327,"DETECTIVE"
936668,"06/28/19",NA,"LIEUTENANT"
936668,"01/10/05",22233,"POLICE OFFICER"
936668,"08/30/12",5541,"SERGEANT"
939842,"06/09/17",1542,"DETECTIVE"
939842,"01/09/06",4449,"POLICE OFFICER"
941315,"08/30/12",6473,"DETECTIVE"
941315,"07/10/06",13496,"POLICE OFFICER"
948590,"07/06/10",15260,"POLICE OFFICER"
959437,"10/07/15",21565,"POLICE OFFICER"
965919,"07/02/18",8053,"POLICE OFFICER"
963356,"04/12/17",12777,"POLICE OFFICER"
964862,"01/10/18",28180,"POLICE OFFICER"
941328,"07/10/06",4759,"POLICE OFFICER"
941328,"08/30/12",1006,"SERGEANT"
959438,"10/07/15",16599,"POLICE OFFICER"
959438,"05/30/19",1210,"POLICE OFFICER"
956370,"07/09/14",7517,"POLICE OFFICER"
966925,"01/03/19",29733,"POLICE OFFICER"
967406,"04/15/19",2925,"POLICE OFFICER"
898880,"07/22/98",3933,"DETECTIVE"
898880,"04/30/91",10534,"POLICE OFFICER"
929591,"01/28/11",5649,"DETECTIVE"
929591,"07/01/02",30258,"POLICE OFFICER"
959439,"10/07/15",20053,"POLICE OFFICER"
921895,"08/22/17",153,"DETECTIVE"
921895,"08/31/98",7905,"POLICE OFFICER"
932238,"07/01/03",74,"POLICE OFFICER"
932238,"02/09/22",1055,"SERGEANT"
919974,"02/24/12",NA,"LIEUTENANT"
919974,"06/24/22",NA,"LT SPECIAL ASSIGN"
919974,"12/08/97",29574,"POLICE OFFICER"
919974,"07/29/05",1226,"SERGEANT"
937942,"05/02/16",3742,"DETECTIVE"
937942,"07/11/05",7742,"POLICE OFFICER"
937943,"09/05/14",6756,"DETECTIVE"
937943,"07/11/05",2695,"POLICE OFFICER"
969454,"11/02/20",10438,"POLICE OFFICER"
964359,"10/18/17",15534,"POLICE OFFICER"
937946,"07/11/05",15238,"POLICE OFFICER"
964863,"01/10/18",8938,"POLICE OFFICER"
949966,"07/06/11",3585,"POLICE OFFICER"
959440,"10/07/15",21441,"POLICE OFFICER"
942927,"01/27/17",4469,"DETECTIVE"
942927,"01/10/07",1483,"POLICE OFFICER"
926476,"09/29/00",11315,"POLICE OFFICER"
953617,"01/09/13",10378,"POLICE OFFICER"
953617,"10/18/21",2754,"SERGEANT"
929496,"07/01/02",13136,"POLICE OFFICER"
905654,"02/28/94",9452,"POLICE OFFICER"
945457,"12/22/17",116,"DETECTIVE"
945457,"01/07/08",24480,"POLICE OFFICER"
926477,"09/29/08",3807,"DETECTIVE"
926477,"09/29/00",5762,"POLICE OFFICER"
945458,"04/25/14",6427,"DETECTIVE"
945458,"02/09/22",NA,"LIEUTENANT"
945458,"01/07/08",4404,"POLICE OFFICER"
945458,"06/25/14",1350,"SERGEANT"
931514,"07/01/02",206,"POLICE OFFICER"
931514,"09/29/08",2817,"SERGEANT"
936966,"08/31/18",585,"DETECTIVE"
936966,"01/10/05",14617,"POLICE OFFICER"
924841,"03/01/00",1634,"POLICE OFFICER"
924841,"07/31/06",19,"SERGEANT"
971784,"07/07/21",31247,"POLICE OFFICER"
962930,"01/04/17",21112,"POLICE OFFICER"
946662,"05/02/16",3761,"DETECTIVE"
946662,"07/08/08",2404,"POLICE OFFICER"
946662,"01/30/18",3835,"SERGEANT"
961486,"04/06/16",1364,"POLICE OFFICER"
919976,"09/29/08",NA,"CAPTAIN"
919976,"12/18/15",NA,"DEPUTY INSPECTOR"
919976,"03/31/06",NA,"LIEUTENANT"
919976,"12/08/97",6099,"POLICE OFFICER"
919976,"02/28/03",3228,"SERGEANT"
948591,"07/06/10",105,"POLICE OFFICER"
958215,"07/08/15",19600,"POLICE OFFICER"
